poi_id,eff_time,lat,lon,times
1,1678,40.7442,-73.7406,Jan 17 21:58:21 +0000 2013
2,2154,40.79893,-74.08047,Jan 17 12:47:22 +0000 2013
3,1479,40.72497,-73.8729,Jan 17 18:59:32 +0000 2013
4,1677,40.66218,-73.91598,Jan 17 18:04:53 +0000 2013
5,1980,40.75979,-73.96526,Jan 17 03:05:36 +0000 2013
6,2607,40.84651,-73.80011,Jan 17 20:05:21 +0000 2013
7,2175,40.77868,-73.8612,Jan 17 23:48:59 +0000 2013
8,2207,40.75152,-74.0029,Jan 17 15:44:20 +0000 2013
9,1970,40.79331,-73.94377,Jan 17 17:58:04 +0000 2013
10,2648,40.9198,-73.95363,Jan 17 00:58:31 +0000 2013
11,797,40.76431,-73.91427,Jan 17 04:29:40 +0000 2013
12,611,40.7485,-73.75083,Jan 17 23:45:22 +0000 2013
13,2084,40.82804,-74.02843,Jan 17 13:16:35 +0000 2013
14,2325,40.57064,-73.63824,Jan 17 17:41:42 +0000 2013
15,1950,40.84639,-73.98395,Jan 17 17:28:08 +0000 2013
16,1632,40.75735,-73.77697,Jan 17 06:15:54 +0000 2013
17,1761,40.82212,-73.8598,Jan 17 18:01:47 +0000 2013
18,2634,40.68076,-74.1415,Jan 17 23:44:30 +0000 2013
19,1708,40.75678,-73.90236,Jan 17 04:18:11 +0000 2013
20,2647,40.67748,-74.04209,Jan 17 12:10:33 +0000 2013
21,2015,40.69169,-73.82715,Jan 17 01:36:02 +0000 2013
22,2085,40.68849,-74.0495,Jan 17 02:23:47 +0000 2013
23,1043,40.66646,-73.82448,Jan 17 10:04:53 +0000 2013
24,1856,41.06126,-73.8768,Jan 17 05:13:48 +0000 2013
25,2058,40.80398,-73.73738,Jan 17 15:01:23 +0000 2013
26,1333,40.73027,-73.8797,Jan 17 03:51:30 +0000 2013
27,717,40.86201,-73.95329,Jan 17 21:25:03 +0000 2013
28,2489,40.47604,-74.08831,Jan 17 23:35:56 +0000 2013
29,1049,40.78164,-73.8916,Jan 17 18:27:07 +0000 2013
30,1102,40.74315,-74.02592,Jan 17 23:02:18 +0000 2013
31,1900,40.69023,-74.02079,Jan 17 12:38:52 +0000 2013
32,1418,40.89502,-73.88606,Jan 17 15:27:27 +0000 2013
33,1177,40.7655,-73.99625,Jan 17 15:50:23 +0000 2013
34,1231,40.81544,-73.96844,Jan 17 23:38:58 +0000 2013
35,2672,40.67708,-74.01798,Jan 17 22:51:11 +0000 2013
36,2392,40.64613,-73.88235,Jan 17 18:46:04 +0000 2013
37,1509,40.79798,-74.01188,Jan 17 20:22:31 +0000 2013
38,2131,40.79193,-73.91744,Jan 17 11:55:20 +0000 2013
39,2066,40.80642,-73.96037,Jan 17 14:47:42 +0000 2013
40,1220,40.80144,-73.92286,Jan 17 03:33:26 +0000 2013
41,1353,40.63808,-74.24215,Jan 17 00:21:37 +0000 2013
42,833,40.71614,-74.11216,Jan 17 09:20:49 +0000 2013
43,2488,40.71336,-74.051,Jan 17 13:32:00 +0000 2013
44,2180,40.94927,-74.16066,Jan 17 00:58:19 +0000 2013
45,1599,40.84372,-73.99352,Jan 17 11:40:30 +0000 2013
46,934,40.61567,-73.90407,Jan 17 12:53:20 +0000 2013
47,844,41.01464,-74.0558,Jan 17 23:11:26 +0000 2013
48,1526,40.8935,-73.90594,Jan 17 13:37:27 +0000 2013
49,793,40.87559,-73.97506,Jan 17 15:28:03 +0000 2013
50,825,40.73353,-73.76077,Jan 17 22:30:57 +0000 2013
