poi_id,eff_time,lat,lon,times
1,2253,35.74858,139.62684,Jan 26 09:51:13 +0000 2013
2,2513,35.76706,139.78134,Jan 26 04:57:11 +0000 2013
3,2547,35.71121,139.55609,Jan 26 01:54:09 +0000 2013
4,1261,35.50042,139.60457,Jan 26 09:46:29 +0000 2013
5,1963,35.50737,139.83428,Jan 26 06:21:59 +0000 2013
6,1828,35.63523,139.64348,Jan 26 05:11:36 +0000 2013
7,2302,35.71998,139.82028,Jan 26 02:52:08 +0000 2013
8,1617,35.67258,139.74455,Jan 26 08:47:21 +0000 2013
9,1514,35.5544,139.79019,Jan 26 06:29:33 +0000 2013
10,1084,36.0418,139.3885,Jan 26 07:44:28 +0000 2013
11,2567,35.64852,139.76788,Jan 26 09:18:59 +0000 2013
12,2602,35.64434,139.86572,Jan 26 10:53:00 +0000 2013
13,913,35.81308,139.61057,Jan 26 04:46:34 +0000 2013
14,962,35.70001,139.75768,Jan 26 20:07:07 +0000 2013
15,1333,35.65645,139.76474,Jan 26 06:10:45 +0000 2013
16,2320,35.75386,139.72792,Jan 26 08:05:37 +0000 2013
17,2313,35.6731,139.66214,Jan 26 05:45:11 +0000 2013
18,1051,35.79713,139.68464,Jan 26 05:19:40 +0000 2013
19,1031,35.80578,139.75161,Jan 26 03:30:41 +0000 2013
20,1149,35.71241,139.60358,Jan 26 08:01:15 +0000 2013
