poi_id,eff_time,lat,lon,times
1.0,800.0,55.66009,12.55977,652763.0
2.0,1727.0,45.75096,4.87196,837827.0
3.0,2487.0,59.32181,18.14327,571589.0
4.0,1989.0,3.38439,101.84254,282544.0
5.0,1038.0,13.47087,144.74195,332537.0
6.0,640.0,55.62542,12.99904,60576.0
7.0,1632.0,41.93001,-72.68597,379328.0
8.0,2031.0,38.75708,-9.13632,1111431.0
9.0,700.0,48.77318,11.3911,612991.0
10.0,2409.0,50.93377,5.3558,477399.0
11.0,764.0,52.02568,-2.10214,1111541.0
12.0,2352.0,-26.05399,28.0377,444508.0
13.0,1661.0,52.42319,-2.03805,271571.0
14.0,741.0,48.86068,2.24882,21869.0
15.0,730.0,50.81487,-0.10337,741945.0
16.0,2633.0,37.69763,-121.93143,893392.0
17.0,972.0,51.63149,6.6373,428977.0
18.0,2459.0,57.66927,12.31462,63743.0
19.0,625.0,52.26553,8.01125,449546.0
20.0,851.0,59.34188,18.00592,676881.0
21.0,2529.0,34.17404,-118.15199,21025.0
22.0,1239.0,33.48933,-111.98884,384232.0
23.0,1068.0,58.41622,15.65016,1030299.0
24.0,2091.0,39.45867,-0.32762,1107315.0
25.0,2324.0,52.27997,10.5475,1111583.0
26.0,2567.0,59.34789,18.08746,84980.0
27.0,778.0,52.54302,13.34625,12880.0
28.0,2197.0,59.31441,18.07605,914645.0
29.0,1688.0,32.91452,-97.03715,10259.0
30.0,1319.0,59.42227,17.83259,713859.0
