poi_id,eff_time,lat,lon,times
1,2615.0,38.0709683198,-122.5317671547,1115506.0
2,2537.0,44.0525528333,12.5911028833,1089889.0
3,1863.0,41.8892947333,-87.6248055167,933818.0
4,1443.0,57.78495544,14.15796852,195824.0
5,2414.0,51.1403036971,3.7631714344,326132.0
6,2237.0,49.1947739598,16.6101157665,1028599.0
7,1878.0,47.6499903167,-122.3505091667,10497.0
8,2184.0,59.34876517,18.0644738674,587793.0
9,1210.0,57.7045083688,11.9757843018,470591.0
10,1555.0,30.3066251833,-97.7296359167,212573.0
11,1851.0,37.5625921833,-122.3271862667,131296.0
12,1040.0,36.0592307,-95.7255084167,1111059.0
13,965.0,42.0510523667,-70.1871501333,599731.0
14,2387.0,37.7571947239,-122.3871621845,685811.0
15,1859.0,28.477113274,-81.4689981937,360287.0
16,665.0,38.8924823919,-76.9880261368,566744.0
17,2682.0,37.8434302833,-122.2515571,59322.0
18,1069.0,52.0874542667,5.1215113167,82773.0
19,2232.0,40.77361865,-73.53223285,235808.0
20,2403.0,41.2834331167,-72.3503931,1115447.0
21,2577.0,34.1803991,-118.50983815,903710.0
22,1235.0,30.2550730045,-97.761926651,498041.0
23,1547.0,68.80258041,16.5431112,1115439.0
24,616.0,51.5205016051,-0.1408201278,778515.0
25,1274.0,47.6124707833,-122.0352974333,34857.0
26,2032.0,59.3154987159,18.0723702908,236195.0
27,2259.0,-37.7177353167,144.9756911833,1052054.0
28,802.0,33.7573599667,-84.3945264667,11684.0
29,906.0,59.9149933485,10.7492571042,480541.0
30,841.0,42.5367236,-92.4465179333,775743.0
31,1095.0,33.7584988833,-84.3739263333,1115389.0
32,658.0,42.3570958178,-71.0611975281,316240.0
33,1241.0,30.480131,-84.167199,563492.0
34,1391.0,36.1157595171,-115.1732826233,150153.0
35,2407.0,40.7862280278,-111.9822263718,34041.0
36,2576.0,38.7221945,-94.4560736,1115417.0
37,1604.0,60.3312369333,4.9774453667,1115378.0
38,1798.0,49.3101841667,-123.08166555,1115423.0
39,1854.0,59.3190724721,18.065944701,195362.0
40,2095.0,42.4669607353,-71.0259783268,383597.0
